"SamplingSize","AvgSampleDistance","Dis_ConfInteval_95%","ValidError(%)","ValidError_ConfInteval_95%","GeneralizedError(%)","Error_ConfInteval_95%","ASEMeanError(%)","ASEError_ConfInteval_95%","ModelTime(S)","MTime_ConfInteval_95%"
"316","522.944976723915","1.77102720224825","10.9609433533451","1.48596304647984","10.3933803461027","0.0483076006349173","11.4277331006642","0.20426249188495","17.7841680049896","3.55601754995424"
"632","404.968550994566","2.45094024237496","10.0703350256597","0.544197140235566","10.2810525131044","0.110726157419126","10.8464940660298","0.0449347574235567","35.4640321731567","6.32432044240962"
"948","307.96185868672","2.50230533734889","10.4175152770039","0.526638411840609","10.3531510321861","0.0439186564492079","10.3999737632457","0.099558385274533","44.142759402593","0.633305546529454"
"1264","220.047923153091","1.03031148966706","10.1951580329802","0.336704403672004","10.2106341003624","0.318676857840584","10.2230432579323","0.308264370033839","1.26192100445429","0.205758768471558"
"1580","139.377939947919","2.31293879048305","9.75924636713523","0.484073968157621","10.0786689198521","0.102058989807019","10.1074499743701","0.047802921621876","1.30718415578206","0.115030246691672"
"","","","","","","","","","",""
"Distance with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.869227630843068","","","","","","","","",""
"SpearMan's correlation","0.9","","","","","","","","",""
"Validation with Testing Error","","","","","","","","","",""
"Pearson's correlation","0.884317854744548","","","","","","","","",""
"SpearMan's correlation","0.9","","","","","","","","",""
